,datetime,IP,startYear,endYear,num_uni,num_author,CL,TACL,ACL_C,NAACL_C,EMNLP_C,CoNLL_C,EACL_C,COLING,IJCNLP,WKSPDEMO
226,2020-02-13 12:57:37.295777,185.126.130.21,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
227,2020-02-13 13:02:19.519284,66.249.70.45,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
228,2020-02-13 13:02:20.843898,66.249.70.43,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
229,2020-02-13 13:12:12.156974,5.101.0.209,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
230,2020-02-13 13:12:12.251506,5.101.0.209,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
231,2020-02-13 13:13:23.402869,91.219.137.29,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
232,2020-02-13 13:13:53.512979,91.219.137.29,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
233,2020-02-13 13:14:25.467184,91.219.137.29,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
234,2020-02-13 13:15:58.162612,91.219.137.29,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
235,2020-02-13 13:20:39.570835,77.72.141.230,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
236,2020-02-13 13:22:56.083972,91.219.137.29,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
237,2020-02-13 13:23:47.316769,77.72.141.230,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
238,2020-02-13 13:23:58.226659,91.219.137.29,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
239,2020-02-13 13:24:16.103120,77.72.141.230,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
